-1.4463,-7.6284
21.203,-1.9811
16.898,-9.3524
15.101,4.5447
-14.527,8.0905
-12.244,6.5853
-8.1018,-9.3657
-20.238,-7.1539
5.0141,-9.9289
-10.68,5.8574
4.5205,7.9716
16.526,5.0043
2.6423,-9.5255
4.5463,7.9498
-15.823,6.6909
-23.751,-4.0059
2.5046,9.4147
-12.046,-7.4639
-11.141,0.54491
9.7755,6.8941
2.8752,-7.0688
14.889,5.4522
-6.0417,10.63
2.068,13.005
-26.684,-2.621
16.393,5.3104
-15.503,5.2455
18.401,7.1223
16.718,7.1198
4.9497,-11.262
-5.9686,11.165
-11.203,-4.2631
21.61,-2.4564
-17.894,4.0406
-5.7695,-7.9737
0.87622,-8.6017
-22.909,5.1596
-9.3777,-6.9461
11.613,4.7886
19.078,-4.2165
10.738,12.953
-2.04,9.9992
6.2855,-10.141
-16.198,0.63208
3.1726,-13.254
-16.277,6.2309
-3.1772,10.946
15.751,1.8768
-10.854,-10.374
-19.48,4.6158
-14.674,2.2957
-15.544,-6.4179
16.945,3.3178
-8.212,9.3573
2.7031,-9.4023
-6.3542,-9.0804
11.197,5.622
12.793,6.8244
19.291,6.323
26.946,0.66255
-13.6,3.5672
-16.499,-12.233
-4.4198,-12.864
-20.278,-2.0141
14.571,5.9363
-11.638,-6.3361
16.341,8.3262
11.445,6.4341
14.779,5.2698
14.769,9.1616
10.684,9.469
7.8154,11.127
-9.0586,10.035
-7.4574,8.4086
3.6319,8.7866
-0.15177,11.592
13.542,-5.3952
-7.169,-11.843
-21.757,-3.9735
8.469,9.6907
4.7293,9.723
18.977,5.0123
29.225,-8.7913
-5.2517,-9.4158
-12.876,-2.446
-10.734,12.746
11.276,9.7002
-12.502,-6.0572
30.382,-1.1538
10.644,9.7432
-1.0364,10.576
-13.461,5.0998
14.07,3.5286
-5.201,-5.9169
-14.972,5.2689
15.696,-0.84969
-18.457,6.5133
-13.599,-6.4394
15.308,11.167
-19.134,8.8331
